,topic,tweet_id,tweet_url,tweet_text,class_label,fake_news,verify_text,verify_url,NLI?,
0,COVID-19,1368273275181207552,http://twitter.com/user/status/1368273275181207552,"The Senate just passed COVID relief.   ✔️ $1,400 relief checks. ✔️ Funding for vaccines. ✔️ Money to reopen schools. ✔️ Food, unemployment, and rental assistance. ✔️ Cutting child poverty in half. ✔️ Help for small businesses.   We must end this pandemic. And help is on the way.",0,no,,,,
1,COVID-19,1369369392052637696,http://twitter.com/user/status/1369369392052637696,"The latest on vaccines: We received almost a million doses of COVID-19 vaccines last week - and we’re getting another million this week. Before the end of the month, we’ll have received a total of 8 million doses of COVID-19 vaccines for people across the country.",0,no,,,,
2,COVID-19,1368254297704595456,http://twitter.com/user/status/1368254297704595456,"We just passed a COVID-19 relief bill that will provide immediate support to Arizona working families and small businesses, help reopen schools safely, get vaccines into peoples’ arms, and get our economy back on track. https://t.co/tPGJ8MC5Td",0,no,,,,
3,COVID-19,1369877253849411584,http://twitter.com/user/status/1369877253849411584,"When every country was focusing to encash Covid Crises and was selling Medical Equipments, Masks, PPE Kits etc, India gave Covid Vaccines 'Free of Cost' to all neighboring counties. We are now set to fulfill 70% of world's Covid Vaccine needs. Proud To Born As An Indian 🇮🇳",0,no,,,,
4,COVID-19,1367982412332900352,http://twitter.com/user/status/1367982412332900352,"LA County chief science officer Dr. Paul Simon: ""All three vaccines were highly effective in preventing hospitalization and death due to COVID ... Differences in reported vaccine efficacy are insignificant relative to the"" big benefits.",0,no,,,,
5,COVID-19,1354009455378182144,http://twitter.com/user/status/1354009455378182144,The COVID-19 vaccine was only made available to the public after meeting strict safety and effectiveness criteria. Vaccines work by teaching your immune system how to defend itself against attack from the virus. Read more: https://t.co/MPCevFV6SM https://t.co/ryk02jSGOR,0,no,,,,
6,COVID-19,1367834808353656832,http://twitter.com/user/status/1367834808353656832,"A big thank you to all partners, my technical teams and the media for making this day come to reality. It is indeed a happy day for me as we received the AstraZeneca COVID-19 Vaccines. Vaccination against COVID-19 will kick off on 10 March 2021. 📷: @bamulanzeki https://t.co/DQiEpf0o2i",0,no,,,,
7,COVID-19,1370393398239240192,http://twitter.com/user/status/1370393398239240192,"Alabama will begin offering COVID-19 vaccines to anyone age 55 and older, and anyone over 16 with certain health conditions on March 22. https://t.co/1BPEjKWimx https://t.co/GDfREjR2RQ",0,no,,,,
8,COVID-19,1367919128338591744,http://twitter.com/user/status/1367919128338591744,"We're pressing the federal government to get us COVID-19 vaccines so that we can get as many Albertans protected, as soon as possible. Alberta is preparing to have everyone 18+ receive a 1st COVID-19 vaccine dose by the end of June, if and only if, we receive the supply we need. https://t.co/LZAxg4LpMi",0,no,,,,
9,COVID-19,1371069095831998464,http://twitter.com/user/status/1371069095831998464,"Gates funded 2019 Event 201 pandemic exercise In focus: Industry-centric, fear based, police-state, censorship, patentable antivirals vaccines Ignored: building immune systems, off-the-shelf remedies, drugs, vitamins, The rest they say, is history https://t.co/7gzrLtyfre",1,yes,"On October 18, 2019, the CHS partnered with the World Economic Forum and the Bill and Melinda Gates Foundation to host the tabletop exercise Event 201 in New York City. According to the CHS, ""the exercise illustrated areas where public/private partnerships will be necessary during the response to a severe pandemic in order to diminish large-scale economic and societal consequences"".Event 201 simulated the effects of a fictional coronavirus passing to humans via infected pig farms in Brazil with ""no possibility of a vaccine being available in the first year"". The simulation ended after 18 months with 65 million deaths from the coronavirus.",https://en.wikipedia.org/wiki/Johns_Hopkins_Center_for_Health_Security,neutral,
10,COVID-19,1370091930131038208,http://twitter.com/user/status/1370091930131038208,"The safety of vaccines delivered to Nigeria is paramount to the Presidential Task Force on COVID-19. For this reason, it has enhanced multi-sectoral collaboration among stakeholders and technical entities such as the FMOH, NPHCDA, NAFDAC, WHO and UNICEF",0,no,,,,
11,COVID-19,1370558261502431232,http://twitter.com/user/status/1370558261502431232,"Mongolia received 14,400 doses of AstraZeneca-Oxford vaccines via the COVAX Facility. UNICEF and WHO have been technically, financially and logistically supporting the Government of Mongolia to prepare for the COVID-19 immunization campaign. @UNICEF_Mongolia @gavi @WHOMongolia https://t.co/noEGmsPHlE",0,no,,,,
12,COVID-19,1370136454085640192,http://twitter.com/user/status/1370136454085640192,"Today, the #GC provided an update on #COVID19 and #Indigenous communities. 536 First Nations, Inuit and Territorial communities are rolling out vaccines, and more than 162,155 doses have been administered. https://t.co/Pm1Rh7TEQv #AllInThisTogether https://t.co/CiQxSUYYYA",0,no,,,,
13,COVID-19,1368924698197848064,http://twitter.com/user/status/1368924698197848064,"232,000 coronavirus vaccine doses have been given since Friday in Illinois — and the state again broke its record for shots. https://t.co/1XBE5gV0xQ https://t.co/SlBApndQww",0,no,,,,
14,COVID-19,1370054872733745152,http://twitter.com/user/status/1370054872733745152,"Don't panic if you see a lump on your armpit after COVID-19 vaccination, doctors say As more Canadians receive COVID-19 vaccines, more and more people might encounter a side effect that radiologists want the public to be more aware of: swelling under the https://t.co/Oi8gUcb0mi",0,no,,,,
